template_id,theme_no,archetype,is_boss,name,base_max_hp,base_max_mp,base_strength,base_defense,base_intelligence,base_luck,base_speed,image_path,move_ids
9001,1,Aggressive,false,ピュルン,200,20,40,20,12,18,30,image/battle/Enemy2.png,127
9002,1,Aggressive,false,カゼッコ,200,20,40,20,12,18,30,image/battle/Enemy4.png,127
9003,1,Aggressive,false,スイマル,200,20,40,20,12,18,30,image/battle/Enemy5.png,127
9004,1,Defensive,false,ドングリン,360,15,25,46,12,12,16,image/battle/Enemy6.png,125
9005,1,Defensive,false,マルゴロ,360,15,25,46,12,12,16,image/battle/Enemy9.png,125
9006,1,Defensive,false,ツチノコン,360,15,25,46,12,12,16,image/battle/Enemy11.png,125
9007,1,Supportive,false,ポワポワ,220,40,20,22,28,25,22,image/battle/Enemy17.png,203
9008,1,Supportive,false,タンポポン,220,40,20,22,28,25,22,image/battle/Enemy18.png,203
9009,1,Supportive,false,フワリン,220,40,20,22,28,25,22,image/battle/Enemy19.png,203
9010,1,Aggressive,true,オオカゼン,650,40,55,35,25,25,28,image/battle/Enemy20.png,129
9011,2,Aggressive,false,トゲマル,200,20,40,20,12,18,30,image/battle/Enemy24.png,127
9012,2,Aggressive,false,キバノコ,200,20,40,20,12,18,30,image/battle/Enemy27.png,127
9013,2,Aggressive,false,ガサゴソ,200,20,40,20,12,18,30,image/battle/Enemy28.png,127
9014,2,Defensive,false,コケダマ,360,15,25,46,12,12,16,image/battle/Enemy30.png,125
9015,2,Defensive,false,ヤドリン,360,15,25,46,12,12,16,image/battle/Enemy32.png,125
9016,2,Defensive,false,ミキマル,360,15,25,46,12,12,16,image/battle/Enemy33.png,125
9017,2,Supportive,false,キノピコ,220,40,20,22,28,25,22,image/battle/Enemy34.png,203
9018,2,Supportive,false,ホタルン,220,40,20,22,28,25,22,image/battle/Enemy35.png,203
9019,2,Supportive,false,モリビン,220,40,20,22,28,25,22,image/battle/Enemy36.png,203
9020,2,Aggressive,true,オオモリン,650,40,55,35,25,25,28,image/battle/Enemy38.png,129
9021,3,Aggressive,false,ツララン,200,20,40,20,12,18,30,image/battle/Enemy39.png,127
9022,3,Aggressive,false,ミゾレッコ,200,20,40,20,12,18,30,image/battle/Enemy41.png,127
9023,3,Aggressive,false,シバレル,200,20,40,20,12,18,30,image/battle/Enemy42.png,127
9024,3,Defensive,false,コオリゴケ,360,15,25,46,12,12,16,image/battle/Enemy45.png,125
9025,3,Defensive,false,ユキダマ,360,15,25,46,12,12,16,image/battle/Enemy46.png,125
9026,3,Defensive,false,シモバシラン,360,15,25,46,12,12,16,image/battle/Enemy47.png,125
9027,3,Supportive,false,ミゾレビ,220,40,20,22,28,25,22,image/battle/Enemy48.png,203
9028,3,Supportive,false,ヒエヒエ,220,40,20,22,28,25,22,image/battle/Enemy50.png,203
9029,3,Supportive,false,シズクン,220,40,20,22,28,25,22,image/battle/Enemy51.png,203
9030,3,Aggressive,true,ツララオウ,650,40,55,35,25,25,28,image/battle/Enemy52.png,129
9031,4,Aggressive,false,ユキカゼ,200,20,40,20,12,18,30,image/battle/Enemy53.png,127
9032,4,Aggressive,false,フブッキー,200,20,40,20,12,18,30,image/battle/Enemy54.png,127
9033,4,Aggressive,false,コゴエ,200,20,40,20,12,18,30,image/battle/Enemy55.png,127
9034,4,Defensive,false,ユキガベ,360,15,25,46,12,12,16,image/battle/Enemy56.png,125
9035,4,Defensive,false,コオリイワ,360,15,25,46,12,12,16,image/battle/Enemy58.png,125
9036,4,Defensive,false,ザンセツン,360,15,25,46,12,12,16,image/battle/Enemy59.png,125
9037,4,Supportive,false,フブキビ,220,40,20,22,28,25,22,image/battle/Enemy64.png,203
9038,4,Supportive,false,シロタエ,220,40,20,22,28,25,22,image/battle/Enemy65.png,203
9039,4,Supportive,false,コナユキン,220,40,20,22,28,25,22,image/battle/Enemy67.png,203
9040,4,Aggressive,true,オオフブキ,650,40,55,35,25,25,28,image/battle/Enemy68.png,129
9041,5,Aggressive,false,ダークカゼ,200,20,40,20,12,18,30,image/battle/Enemy69.png,127
9042,5,Aggressive,false,ヤミイカズチ,200,20,40,20,12,18,30,image/battle/Enemy70.png,127
9043,5,Aggressive,false,クライナリ,200,20,40,20,12,18,30,image/battle/Enemy71.png,127
9044,5,Defensive,false,ダークイワ,360,15,25,46,12,12,16,image/battle/Enemy72.png,125
9045,5,Defensive,false,ヤミガベ,360,15,25,46,12,12,16,image/battle/Enemy73.png,125
9046,5,Defensive,false,アラシゴケ,360,15,25,46,12,12,16,image/battle/Enemy74.png,125
9047,5,Supportive,false,ダークビ,220,40,20,22,28,25,22,image/battle/Enemy75.png,203
9048,5,Supportive,false,ヤミシズク,220,40,20,22,28,25,22,image/battle/Enemy76.png,203
9049,5,Supportive,false,クロイナズマ,220,40,20,22,28,25,22,image/battle/Enemy77.png,203
9050,5,Aggressive,true,ダークアラシ,650,40,55,35,25,25,28,image/battle/Enemy78.png,129
