stage_id,item_id,weight,is_miss
1,,60,true
1,3002,12,false
1,3004,12,false
1,3001,8,false
1,3028,4,false
1,3032,4,false
2,,55,true
2,3002,5,false
2,3004,5,false
2,3003,10,false
2,3029,8,false
2,3033,7,false
2,3041,5,false
2,3049,5,false
3,,6,true
3,3026,10,false
3,3030,8,false
3,3034,8,false
3,3038,8,false
3,3042,8,false
3,3050,8,false
3,3052,4,false
3,3053,4,false
3,3054,4,false
3,3055,4,false
3,3056,4,false
3,3057,4,false
3,3058,4,false
3,3059,4,false
3,3060,4,false
3,3061,4,false
3,3062,4,false
4,,0,true
4,3006,7,false
4,3009,7,false
4,3012,7,false
4,3015,7,false
4,3018,7,false
4,3021,5,false
4,3024,6,false
4,3052,4,false
4,3053,4,false
4,3054,4,false
4,3055,4,false
4,3056,4,false
4,3057,4,false
4,3058,4,false
4,3059,4,false
4,3060,4,false
4,3061,4,false
4,3062,4,false
4,3063,2,false
4,3064,2,false
4,3065,2,false
4,3066,2,false
4,3067,2,false
5,,37,true
5,3027,6,false
5,3031,6,false
5,3035,6,false
5,3039,6,false
5,3043,6,false
5,3047,5,false
5,3051,5,false
5,3007,4,false
5,3010,3,false
5,3013,3,false
5,3063,2,false
5,3064,2,false
5,3065,2,false
5,3066,2,false
5,3067,2,false
5,3068,1,false
5,3069,1,false
5,3070,1,false
6,,2,true
6,3007,8,false
6,3010,8,false
6,3013,8,false
6,3016,8,false
6,3019,8,false
6,3022,7,false
6,3025,8,false
6,3027,6,false
6,3031,6,false
6,3035,6,false
6,3039,6,false
6,3043,6,false
6,3047,5,false
6,3050,4,false
6,3051,4,false
