item_id,name,flavor_text,effect_type,max_stack,change_job_to,required_level,bonus_max_hp,bonus_max_mp,bonus_strength,bonus_defense,bonus_intelligence,bonus_luck,bonus_speed,required_master_jobs,bonus_percent_max_hp,bonus_percent_max_mp,bonus_percent_strength,bonus_percent_defense,bonus_percent_intelligence,bonus_percent_luck,bonus_percent_speed,exp_multiplier,map_unlock_flag
3001,いのちのたね,たべるとちょっとげんきになるたね。最大HPが1上がる,StatBoost,99,,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
3003,いのちのふたば,げんきいっぱいにそだったふたば。最大HPが2上がる,StatBoost,99,,1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
3005,いのちのしずく,のむとからだがぽかぽかするしずく。最大HPが1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,
3006,いのちのせいすい,いのちのめぐみがとけこんだせいすい。最大HPが2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,,
3007,いのちのいずみ,げんきがわきでるいずみの水。最大HPが5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,,
3008,まほうのしずく,まりょくがほんのりとけたしずく。最大MPが1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,,
3009,まほうのせいすい,ほしぞらいろにひかるせいすい。最大MPが2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,,
3010,まほうのいずみ,まりょくがこんこんとわくいずみの水。最大MPが5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,,
3011,ちからのしずく,のむとうでがなるしずく。腕力が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,
3012,ちからのせいすい,からだのおくからちからがわくせいすい。腕力が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,,
3013,ちからのいずみ,ちからがみなぎるいずみの水。腕力が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,5,0,0,0,0,,
3014,まもりのしずく,はだをまもるふしぎなしずく。守備が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,,
3015,まもりのせいすい,からだがかたくなるせいすい。守備が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,,
3016,まもりのいずみ,てつのようにつよくなれるいずみの水。守備が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,,
3017,かしこさのしずく,あたまがすっきりするしずく。知力が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,,
3018,かしこさのせいすい,ひらめきがふってくるせいすい。知力が2%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,,
3019,かしこさのいずみ,ちえがわきでるいずみの水。知力が5%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,,
3020,しあわせのしずく,にじいろにきらめくしずく。運が1%上がる,StatBoost,99,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,,
