effect_id,move_id,sequence,effect_type,hit_count,power_rate,fixed_value,critical_rate,element_type,attack_stat,ailment_type,ailment_rate,ailment_turns,buff_stat,buff_op,buff_value,buff_turns,buff_rate,can_stack,override_target_type,override_attack_range,override_target_life_state
1,1,1,Damage,1,1.30,0,0.03,Strike,,,,,,,,,,,,
2,2,1,Damage,1,1.10,2,0.03,Slash,,,,,,,,,,,,
3,3,1,Damage,1,1.35,4,0.04,Slash,,,,,,,,,,,,
4,4,1,Damage,1,1.80,12,0.05,Slash,,,,,,,,,,,,
5,5,1,Damage,1,1.20,6,0.03,Strike,Defense,,,,,,,,,,,
6,6,1,Damage,1,1.25,4,0.02,None,,,,,,,,,,,,
7,7,1,Ailment,,,,,,,Taunt,1.00,1,,,,,,,,,
8,8,1,Ailment,,,,,,,Taunt,1.00,1,,,,,,,,,
9,8,2,Buff,,,,,,,,,,Defense,Add,15,3,1.00,false,,,
10,9,1,Buff,,,,,,,,,,Defense,Add,15,3,1.00,false,,,
11,10,1,Ailment,,,,,,,Paralysis,1.00,1,,,,,,,,,
12,11,1,Ailment,,,,,,,Poison,1.00,1,,,,,,,,,
13,12,1,Ailment,2,0.10,0,0.00,None,,DamageTrap,1.00,2,,,,,,,,,
14,13,1,Heal,,1.00,20,,Holy,,,,,,,,,,,,
15,14,1,Heal,,1.25,45,,Holy,,,,,,,,,,,,
16,15,1,Heal,,1.60,85,,Holy,,,,,,,,,,,,
17,16,1,Heal,,2.10,150,,Holy,,,,,,,,,,,,
18,17,1,Damage,1,1.20,3,0.03,Holy,,,,,,,,,,,,
19,18,1,Damage,1,1.25,4,0.02,Fire,,,,,,,,,,,,
20,19,1,Damage,1,1.05,2,0.02,Fire,,,,,,,,,,,,
21,20,1,Damage,1,1.35,5,0.03,Fire,,,,,,,,,,,,
22,21,1,Damage,1,1.75,10,0.04,Fire,,,,,,,,,,,,
23,22,1,Damage,1,2.30,18,0.05,Fire,,,,,,,,,,,,
24,23,1,Damage,1,1.00,2,0.01,Water,,,,,,,,,,,,
25,24,1,Damage,1,1.20,5,0.02,Water,,,,,,,,,,,,
26,25,1,Damage,1,1.45,9,0.03,Water,,,,,,,,,,,,
27,26,1,Damage,1,1.90,15,0.04,Water,,,,,,,,,,,,
28,27,1,Damage,1,0.95,2,0.01,Wind,,,,,,,,,,,,
29,28,1,Damage,1,1.15,4,0.02,Wind,,,,,,,,,,,,
30,29,1,Damage,1,1.35,7,0.03,Wind,,,,,,,,,,,,
31,30,1,Damage,1,1.70,12,0.04,Wind,,,,,,,,,,,,
32,31,1,Damage,1,1.00,3,0.01,Earth,,,,,,,,,,,,
33,32,1,Damage,1,1.20,6,0.02,Earth,,,,,,,,,,,,
34,33,1,Damage,1,1.45,10,0.03,Earth,,,,,,,,,,,,
35,34,1,Damage,1,1.85,16,0.04,Earth,,,,,,,,,,,,
36,35,1,Damage,1,1.30,0,0.03,Strike,Strength,,,,,,,,,,,
37,36,1,Damage,1,1.50,0,0.03,Fire,Intelligence,,,,,,,,,,,
38,37,1,Damage,1,0.70,0,0.02,Slash,Strength,,,,,,,,,,,
39,38,1,Ailment,,,,,,,Sleep,0.50,2,,,,,,,,,
40,39,1,Damage,1,1.30,0,0.03,Strike,Strength,,,,,,,,,,,
41,40,1,Damage,3,0.50,0,0.02,Pierce,Strength,,,,,,,,,,,
42,41,1,Ailment,,,,,,,Poison,1.00,3,,,,,,,,,
43,42,1,Damage,1,1.00,0,0.02,Strike,Strength,,,,,,,,,,,
44,42,2,Heal,,0.20,0,,None,Strength,,,,,,,,,,Self,Single,Alive
45,43,1,Damage,1,1.50,0,0.03,Strike,Strength,,,,,,,,,,,
46,44,1,Damage,8,0.25,0,0.01,Strike,Strength,,,,,,,,,,,
47,45,1,Buff,,,,,,,,,,Accuracy,Add,-50,3,1.00,false,,,
48,46,1,Damage,1,1.50,0,0.03,Water,Strength,,,,,,,,,,,
49,47,1,Damage,1,0.60,0,0.01,Water,Intelligence,,,,,,,,,,,
50,47,2,Ailment,,,,,,,Sleep,0.50,2,,,,,,,,,
51,48,1,Damage,10,0.10,0,0.00,Water,Intelligence,,,,,,,,,,,
52,49,1,Damage,1,1.20,0,0.02,None,Strength,,,,,,,,,,,
53,49,2,Ailment,,,,,,,Paralysis,0.50,1,,,,,,,,,
54,50,1,Ailment,,,,,,,InstantDeath,0.30,1,,,,,,,,,
55,51,1,Damage,5,0.60,0,0.02,Slash,Strength,,,,,,,,,,,
56,52,1,Damage,1,4.00,0,0.05,Strike,Strength,,,,,,,,,,,
57,53,1,Damage,1,1.50,0,0.03,Earth,Strength,,,,,,,,,,,
58,53,2,Heal,,0.50,0,,Earth,Strength,,,,,,,,,,Ally,All,Alive
59,54,1,Damage,1,2.00,0,0.03,Slash,Strength,,,,,,,,,,,
60,55,1,Damage,1,4.00,0,0.05,Strike,Strength,,,,,,,,,,,
61,56,1,Damage,1,1.00,0,0.02,Fire,Intelligence,,,,,,,,,,,
62,56,2,Ailment,,,,,,,Burn,1.00,3,,,,,,,,,
63,57,1,Heal,,0.80,0,,None,Intelligence,,,,,,,,,,,
64,58,1,Damage,1,3.00,0,0.03,Earth,Strength,,,,,,,,,,,
65,58,2,Knockout,,,,,,,,,,,,,,,,Self,Single,Alive
